ID,SEL_100,VAL,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
1303426,0.02,0.21,5.06,11.52,4.0,neutral,neutral,neutral,401.484,4.871,4.41,92.93,3,3,yellow,yellow,red
68578,0.38,0.75,3.28,14.89,5.32,neutral,neutral,neutral,334.415,2.916,3.28,59.37,1,2,yellow,green,yellow
1326183,0.01,0.18,1.08,9.77,2.78,neutral,neutral,neutral,302.352,3.012,1.08,100.87,3,3,green,green,green
454219,0.4,0.65,3.0,,8.72,basic,basic,basic,378.598,3.93,4.32,39.99,1,2,yellow,green,yellow
1309273,0.0,0.12,3.02,16.21,9.56,basic,basic,basic,358.357,5.993,5.14,37.05,2,1,red,green,yellow
394539,0.0,0.0,-5.59,-3.03,,acidic,acidic,acidic,142.042,-3.087,-0.84,80.26,0,4,green,green,green
486020,1.0,1.0,3.54,12.01,-3.05,neutral,neutral,neutral,871.963,5.424,3.54,239.75,4,16,yellow,red,yellow
169845,0.03,0.07,4.42,8.64,-5.29,neutral,neutral,neutral,308.328,3.295,4.44,74.6,2,4,yellow,green,red
1304297,0.01,0.07,-1.86,2.92,-3.81,acidic,acidic,acidic,347.713,1.896,1.62,137.23,2,7,green,green,green
142808,0.7,0.9,1.14,10.85,8.66,basic,basic,basic,824.958,3.479,3.13,171.17,3,10,yellow,red,green
1310286,0.0,0.08,3.43,,1.99,neutral,neutral,neutral,380.351,4.038,3.59,73.52,0,5,yellow,green,yellow
1321943,0.48,1.0,4.6,10.37,2.69,neutral,neutral,neutral,395.817,5.289,3.95,95.83,4,2,yellow,green,red
170044,0.1,0.33,-2.02,9.95,-2.98,neutral,neutral,neutral,258.228,-0.966,-2.02,124.78,4,6,green,green,green
2214,0.59,0.87,-1.03,9.31,10.0,basic,basic,basic,176.215,0.696,0.41,62.04,3,1,green,green,green
1286993,0.33,0.93,0.97,13.9,9.81,basic,basic,basic,370.879,3.733,3.36,69.73,2,3,yellow,green,green
1317031,0.03,0.19,4.96,9.81,-4.0,neutral,neutral,neutral,377.35,4.513,4.96,113.73,3,5,yellow,green,red
75258,0.41,0.74,3.74,13.74,9.37,basic,basic,basic,512.431,6.052,5.7,72.28,1,4,red,red,yellow
75253,0.25,0.71,2.8,11.5,10.29,basic,basic,basic,532.508,6.799,5.42,95.07,3,4,red,red,yellow
1307554,0.14,0.61,2.95,12.79,1.78,neutral,neutral,neutral,342.415,3.697,2.95,69.04,1,4,green,green,yellow
10813,0.9,0.97,2.94,14.36,8.59,basic,basic,basic,440.941,4.699,3.77,39.99,1,1,yellow,yellow,yellow
246,0.13,0.47,-0.92,5.77,8.68,zwiterionic,zwiterionic,zwiterionic,319.331,-0.208,-1.48,74.57,1,3,green,green,green
130164,0.0,0.2,-0.25,6.56,2.34,acidic,acidic,neutral,448.377,1.777,0.9,190.28,7,11,green,yellow,green
1316229,0.17,0.38,3.29,15.55,6.8,basic,neutral,neutral,482.396,3.721,3.36,85.83,2,3,yellow,yellow,yellow
