INDEX,SMILES,ID,STATE_50,VAL,logD
139,C[C@@H]1CN(CC[C@@]1(c2ccccc2)C(=O)O)C3CCC(CC3)(C#N)c4ccc(cc4)F,79516-68-0,zwitterionic,0.43,2.5
140,C[C@H]1COc2c3n1cc(c(=O)c3cc(c2N4CCN(CC4)C)F)C(=O)O,100986-85-4,acidic,1.9,-0.28
141,c1ccc2c(c1)CC[C@@H](C(=O)N2CC(=O)O)N[C@@H](CCCCN)C(=O)O,109214-55-3,zwitterionic,1.23,-4.13
142,c1ccc(cc1)CC[C@@H](C(=O)O)N[C@@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)O,76547-98-3,zwitterionic,1.2,-3.18
143,CCn1cc(c(=O)c2c1c(c(c(c2)F)N3CCN[C@H](C3)C)F)C(=O)O,98079-51-7,zwitterionic,3.98,-0.39
144,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,69-65-8,neutral,1.2,-3.73
145,c1cc(ccc1CNC(=O)[C@@H]2CCN2C(=O)[C@@H](C3CCCCC3)NCC(=O)O)C(=N)N,159776-70-2,zwitterionic,1.9,-1.73
146,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,96036-03-2,zwitterionic,3.9,-4.36
147,C[C@@H](C(=O)N1CCN(CC1)c2nc3cc(c(cc3c(n2)N)OC)OC)OC,95549-92-1,neutral,0.53,0.91
148,CN(C)C(=N)NC(=N)N,657-24-9,basic,7.4,-5.62
149,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,76-99-3,basic,1.7,3.29
150,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)c3c(cccc3OC)OC)C(=O)O)C,61-32-5,acidic,6.6,-2.69
151,CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,59-05-2,acidic,2.1,-6.56
152,C[N+]1(CCc2cc(c3cc2[C@@H]1Cc4ccc(cc4)Oc5c6c(cc(c5OC)OC)CC[N+]([C@@H]6Cc7ccc(c(c7)O3)OC)(C)C)OC)C,5152-30-7,neutral,1.2,-1.85
153,Cc1ccccc1N2C(Nc3cc(c(cc3C2=O)S(=O)(=O)N)Cl)C,17560-51-9,neutral,1.4,2.94
154,CC(=O)Nc1c(c(c(c(c1I)N(C)C(=O)C)I)C(=O)O)I,1949-45-7,acidic,2.7,-0.76
155,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)NC(=O)N4CCN(C4=O)S(=O)(=O)C)C(=O)O)C,51481-65-3,acidic,2.1,-4.22
156,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)c2ccccc2,92623-85-3,basic,8.9,-0.91
160,C1[C@@H]([C@H]([C@@H]([C@H](N1CCO)CO)O)O)O,72432-03-2,basic,1.7,-3.6
161,Cc1c(cc(c(=O)[nH]1)C#N)c2ccncc2,78415-72-2,neutral,6.2,0.12
162,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)[C@@H](c4ccc(cc4)O)C(=O)O)OC)OC2)C(=O)O,64952-97-2,acidic,0.72,-6.68
163,Cc1nc(c(c(n1)Cl)NC2=NCCN2)OC,75438-57-2,basic,11.0,1.3
164,CC(C)(C)NCC(COc1cccc2c1CC(C(C2)O)O)O,42200-33-9,basic,2.9,-1.44
165,CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C3CCN(CC3)C,121679-13-8,basic,6.6,-0.34
166,CCCc1c2c(cc3c1oc(cc3=O)C(=O)O)c(=O)cc(n2CC)C(=O)O,69049-73-6,acidic,10.2,-4.49
167,CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,59-99-4,neutral,9.2,-2.25
168,CCN[C@@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]([C@@](CO2)(C)O)NC)O)O)O[C@@H]3[C@@H](CC=C(O3)CN)N)N,56391-56-1,basic,0.55,-11.06
169,c1cc(oc1/C=N/N2CC(=O)NC2=O)N(=O)=O,67-20-9,neutral,9.7,-0.23
170,CN/C(=C\N(=O)=O)/NCCSCc1csc(n1)CN(C)C,76963-41-2,zwitterionic,9.8,0.66
171,CC1COc2c3n1cc(c(=O)c3cc(c2N4CCN(CC4)C)F)C(=O)O,82419-36-1,acidic,2.5,-0.28
