INDEX,SMILES,ID,STATE_50,VAL,logD,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
284,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O,178796,acidic,6.3,-1.38,424.528,2.415,1.65,124.29,3,7,green,yellow,green
285,CCN(CC)C(=O)/C(=C/c1cc(c(c(c1)O)O)[N+](=O)[O-])/C#N,92412,acidic,6.4,0.27,305.286,2.422,1.63,127.7,2,6,green,green,green
286,c1nc2c(=O)[nH]c(nc2n1CCC(CO)CO)N,430597,neutral,6.7,-2.07,253.258,-1.673,-2.07,130.05,4,5,green,green,green
287,c1[nH]c(=O)c2c(n1)n(cn2)[C@H]3CC[C@H](O3)CO,390877,neutral,6.8,-0.88,236.227,-0.287,-0.87,93.03,2,5,green,green,green
288,c1c2c(cc(c1F)N3CCNCC3)n(cc(c2=O)C(=O)O)C4CC4,241,zwitterionic,6.9,-0.81,331.342,-0.181,-1.38,74.57,1,3,green,green,green
289,C[n+]1cccc(c1)OC(=O)N(C)C,157330,neutral,7.2,-3.47,181.212,-1.232,-3.47,33.42,0,2,green,green,green
290,CN/C(=C\[N+](=O)[O-])/NCCSCc1csc(n1)CN(C)C,27604,zwitterionic,7.4,0.67,331.457,1.227,0.76,83.33,2,3,green,green,green
291,CNC(=C[N+](=O)[O-])NCCSCc1ccc(o1)CN(C)C,1153672,zwitterionic,7.4,0.23,314.404,1.158,0.98,83.58,2,3,green,green,green
292,CC(=O)O[C@@H]1[C@@H](Sc2ccccc2N(C1=O)CCN(C)C)c3ccc(cc3)OC,1278,basic,9.2,1.89,414.518,3.101,2.73,59.08,0,4,green,yellow,green
293,CN1Cc2c(cccc2N)C(C1)c3ccccc3,16225,basic,12.5,1.13,238.328,2.355,2.62,29.26,1,0,green,green,green
294,C[C@@]12CCN([C@@H]1N(c3c2cc(cc3)OC(=O)NC)C)C,9277,neutral,16.5,2.17,275.346,2.248,2.23,44.81,1,2,green,green,yellow
295,CCC(=O)N(c1ccccc1)C2(CCN(CC2)CCn3c(=O)n(nn3)CC)COC,27190,basic,0.039,2.45,416.517,2.367,2.81,85.49,0,5,green,yellow,yellow
296,CCCCc1c(c2ccccc2o1)C(=O)c3cc(c(c(c3)I)OCCN(CC)CC)I,27185,basic,0.0304,6.53,645.312,7.553,7.64,42.68,0,3,red,red,red
297,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,8873,zwitterionic,0.0138,-2.31,924.079,3.595,-4.58,319.61,11,17,green,red,green
298,Cc1cc(=O)n(n1C)c2ccccc2,26820,neutral,0.0243,1.22,188.226,1.568,1.22,26.41,0,1,green,green,green
299,c1cc2c(cc1)C(=O)C(=C(C2=O)[C@H]3CC[C@@H](CC3)c4ccc(cc4)Cl)O,378315,acidic,0.0,3.33,366.837,5.908,5.0,54.37,1,3,yellow,green,yellow
300,c1ccc(cc1)C(CCN2CCCCC2)(C3CC4CC3C=C4)O,151063,basic,0.0,1.64,311.461,4.458,3.54,23.47,1,1,yellow,green,green
301,c1cc(c(c(c1)C(=O)c2ccc(cc2)Br)N)CC(=O)O,140107,acidic,0.0022,0.4,334.165,2.468,3.66,80.39,1,3,yellow,green,green
302,CCc1cccc2c1oc(c2)C(CNC(C)(C)C)O,64396,basic,0.0,1.16,261.359,3.025,2.99,45.4,2,2,green,green,green
303,CS(=O)(=O)OCCCCOS(=O)(=O)C,56644,neutral,0.024,-0.76,246.302,0.173,-0.76,86.74,0,6,green,green,green
304,Cn1cnc2c1c(=O)n(c(=O)n2C)C,16485,neutral,0.017,-0.55,194.191,-0.536,-0.55,61.82,0,3,green,green,green
305,CC(C)c1c(c(c(c(n1)C(C)C)/C=C/[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)COC,403465,acidic,0.0,1.15,459.55,3.514,2.58,99.88,2,6,green,yellow,green
306,c1cc(ccc1CCCC(=O)O)N(CCCl)CCCl,11002,acidic,0.028,1.09,304.212,3.224,3.94,40.54,0,2,yellow,green,green
307,CNC1=Nc2ccc(cc2C(=[N+](C1)[O-])c3ccccc3)Cl,2431,neutral,0.0037,1.46,299.755,1.568,3.05,50.46,1,2,yellow,green,green
308,CCCNC(=O)NS(=O)(=O)c1ccc(cc1)Cl,8516,acidic,0.009,1.0,276.74,1.939,1.94,75.27,2,3,green,green,green
309,COc1c(cc(cc1)[C@]2(CC[C@@H](CC2)C(=O)O)C#N)OC3CCCC3,451253,acidic,0.005,0.38,343.417,2.674,3.9,79.55,0,5,yellow,green,green
310,c1ccc(c(c1)C2=NCC(=O)Nc3c2cc(cc3)[N+](=O)[O-])Cl,2465,neutral,0.0088,3.15,315.711,3.153,3.15,84.6,1,4,yellow,green,yellow
