Unnamed: 0,ID,VAL,UNITS,CHG_STATE,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
123,66831,19.4,%,neutral,-1.28,,-4.38,neutral,neutral,neutral,336.361,2.111,-1.28,40.8,0,4,green,green,green
124,27342,31.6,%,basic,1.46,,9.8,basic,basic,basic,255.355,3.666,3.81,21.26,1,1,yellow,green,green
125,1279,7.1,%,basic,-1.8,14.08,9.67,basic,basic,basic,266.336,0.775,0.43,84.58,3,3,green,green,green
126,29097,28.2,%,basic,2.24,9.12,10.23,basic,basic,basic,355.861,4.501,3.74,48.39,2,2,yellow,green,yellow
127,27072,22.0,%,basic,2.48,,9.76,basic,basic,basic,277.403,4.874,4.81,3.24,0,0,yellow,green,yellow
128,27647,10.0,%,basic,-1.38,,10.71,basic,basic,basic,151.249,1.378,1.47,26.02,1,0,green,green,green
129,395607,10.8,%,neutral,-1.89,8.35,-0.26,neutral,neutral,neutral,136.111,0.307,-1.76,74.43,2,3,green,green,green
130,365538,-2.0,%,neutral,-1.55,10.16,1.85,neutral,neutral,neutral,225.205,-1.47,-1.55,119.05,3,5,green,green,green
131,448986,17.7,%,neutral,-7.77,11.23,7.03,basic,neutral,neutral,645.605,-3.051,-7.61,321.17,14,18,green,red,green
132,112861,10.8,%,neutral,-1.54,,,neutral,neutral,neutral,170.23,0.828,-1.54,3.88,0,0,green,green,green
133,142808,59.8,%,basic,1.14,10.85,8.66,basic,basic,basic,824.958,3.479,3.13,171.17,3,10,yellow,red,green
134,139045,33.7,%,acidic,2.05,4.0,-0.56,acidic,acidic,acidic,435.519,4.215,5.27,112.07,1,6,red,yellow,yellow
135,15217,9.6,%,acidic,0.56,5.14,,acidic,acidic,acidic,144.211,2.244,2.8,37.3,0,2,green,green,green
136,373985,29.5,%,acidic,-3.7,2.84,6.24,zwitterionic,acidic,acidic,444.435,-0.003,-3.65,181.62,6,8,green,yellow,green
137,328201,-34.2,%,neutral,3.64,18.01,-4.88,neutral,neutral,neutral,416.573,2.261,3.64,60.44,0,4,yellow,yellow,yellow
138,138562,29.3,%,neutral,4.46,14.91,-2.84,neutral,neutral,neutral,418.566,5.163,4.46,72.83,1,5,yellow,yellow,red
139,17169,6.6,%,basic,2.05,13.61,8.47,basic,basic,basic,670.841,3.622,3.16,166.75,5,6,yellow,red,yellow
140,20027,-32.1,%,acidic,2.21,5.62,6.53,zwitterionic,acidic,acidic,357.427,2.814,2.0,71.53,1,4,green,green,yellow
141,371643,-1.3,%,basic,0.86,13.89,9.05,basic,basic,basic,324.417,3.043,2.51,45.59,1,3,green,green,green
142,12825,33.4,%,neutral,4.15,18.92,-4.82,neutral,neutral,neutral,314.462,3.531,4.15,34.14,0,2,yellow,green,red
143,178796,5.4,%,acidic,-1.38,4.21,-2.72,acidic,acidic,acidic,424.528,2.415,1.65,124.29,3,7,green,yellow,green
144,11968,23.5,%,acidic,-1.52,2.27,1.01,acidic,acidic,acidic,331.346,1.593,0.59,99.6,2,5,green,green,green
145,372805,20.5,%,acidic,-3.2,7.18,-2.85,acidic,acidic,neutral,584.652,-0.593,-2.78,206.6,8,12,green,red,green
146,674643,37.0,%,acidic,3.24,4.27,3.89,acidic,acidic,acidic,558.585,3.34,4.54,162.16,2,10,yellow,red,yellow
147,9951,-0.5,%,neutral,-0.17,13.75,3.62,neutral,neutral,neutral,136.151,-0.203,-0.17,41.99,1,2,green,green,green
148,419596,-21.0,%,neutral,1.82,19.44,-6.63,neutral,neutral,neutral,346.335,2.851,1.82,107.77,1,6,green,green,green
149,407549,10.1,%,basic,2.71,19.47,8.18,basic,basic,neutral,479.525,4.703,3.56,111.01,1,6,yellow,yellow,yellow
150,4504,67.9,%,basic,-1.09,8.21,9.22,basic,basic,basic,444.481,-0.355,1.17,163.18,8,6,green,yellow,green
151,9495,21.3,%,neutral,3.9,14.91,-2.84,neutral,neutral,neutral,404.54,4.449,3.9,72.83,1,5,yellow,yellow,yellow
152,469690,11.4,%,zwitterionic,3.44,0.27,9.43,zwitterionic,zwitterionic,zwitterionic,776.87,2.249,3.59,92.78,2,4,yellow,red,yellow
153,72036,24.7,%,neutral,4.13,,6.75,basic,neutral,neutral,531.431,3.554,4.19,69.06,0,5,yellow,red,red
154,27986,-2.3,%,neutral,7.31,,3.92,neutral,neutral,neutral,705.633,6.243,7.31,104.18,0,7,red,red,red
155,173,48.6,%,acidic,0.27,3.8,-2.27,acidic,acidic,acidic,357.788,4.005,3.53,68.53,0,4,yellow,green,green
156,17170,18.1,%,neutral,2.52,13.19,7.37,basic,neutral,neutral,613.789,3.185,2.81,118.03,4,5,green,red,yellow
157,240123,67.0,%,basic,4.14,11.16,7.87,basic,basic,neutral,452.551,4.564,4.75,73.07,2,3,yellow,yellow,red
